Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Benign,15.1253,NORMAL,67.9441,67.8517,74.1128,4.5124,4.5001,5.3409,0.0074,0.0084,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Benign,24.0940,NORMAL,68.9988,67.8517,74.1128,4.6536,4.5001,5.3409,0.0083,0.0084,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,25.7910,NORMAL,68.9393,67.8517,74.1128,4.6457,4.5001,5.3409,0.0077,0.0084,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Malicious,0.0100,"SUSPECT(full:L2-Lo,full:Var-Lo,full:Dist)",57.4762,67.8517,74.1128,3.2290,4.5001,5.3409,0.0707,0.0084,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,2.3047,NORMAL,70.0437,67.8517,74.1128,4.7957,4.5001,5.3409,0.0107,0.0084,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,62.7509,NORMAL,67.7898,67.8517,74.1128,4.4921,4.5001,5.3409,0.0082,0.0084,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,35.3666,NORMAL,68.6877,67.8517,74.1128,4.6119,4.5001,5.3409,0.0082,0.0084,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,11.5345,NORMAL,66.0904,67.8517,74.1128,4.2697,4.5001,5.3409,0.0081,0.0084,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Malicious,0.0100,"SUSPECT(full:L2-Lo,full:Var-Lo,full:Dist)",59.8841,67.8517,74.1128,3.5054,4.5001,5.3409,0.0687,0.0084,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,4.9204,NORMAL,67.9136,67.8517,74.1128,4.5082,4.5001,5.3409,0.0067,0.0084,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Benign,0.0100,SUSPECT(full:Dist),67.6980,67.8517,74.1128,4.4797,4.5001,5.3409,0.0199,0.0084,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,11,Malicious,0.0100,"SUSPECT(full:L2-Lo,full:Var-Lo,full:Dist)",59.7942,67.8517,74.1128,3.4950,4.5001,5.3409,0.0915,0.0084,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,12,Malicious,0.0100,"SUSPECT(full:L2-Lo,full:Var-Lo,full:Dist)",55.0556,67.8517,74.1128,2.9628,4.5001,5.3409,0.0761,0.0084,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,13,Malicious,0.0100,"SUSPECT(full:L2-Lo,full:Var-Lo,full:Dist)",58.3687,67.8517,74.1128,3.3303,4.5001,5.3409,0.0705,0.0084,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,14,Benign,12.7038,NORMAL,69.5299,67.8517,74.1128,4.7256,4.5001,5.3409,0.0085,0.0084,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,15,Benign,6.7903,NORMAL,65.6220,67.8517,74.1128,4.2093,4.5001,5.3409,0.0074,0.0084,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,16,Benign,18.8230,NORMAL,69.2015,67.8517,74.1128,4.6812,4.5001,5.3409,0.0083,0.0084,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,17,Malicious,0.0100,"SUSPECT(full:L2-Lo,full:Var-Lo,full:Dist)",58.2579,67.8517,74.1128,3.3176,4.5001,5.3409,0.0825,0.0084,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,18,Benign,64.2030,NORMAL,68.2108,67.8517,74.1128,4.5481,4.5001,5.3409,0.0084,0.0084,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,19,Benign,16.6338,NORMAL,69.3041,67.8517,74.1128,4.6951,4.5001,5.3409,0.0093,0.0084,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0,Benign,19.7872,NORMAL,57.4787,58.4929,64.8441,3.2247,3.3421,4.0662,0.0464,0.0508,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,Benign,49.3488,NORMAL,57.9379,58.4929,64.8441,3.2763,3.3421,4.0662,0.0513,0.0508,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,2,Benign,13.0210,NORMAL,57.0347,58.4929,64.8441,3.1773,3.3421,4.0662,0.0453,0.0508,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,3,Malicious,0.0100,SUSPECT(full:Dist),61.8784,58.4929,64.8441,3.7395,3.3421,4.0662,0.1971,0.0508,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,4,Benign,44.7084,NORMAL,58.7172,58.4929,64.8441,3.3692,3.3421,4.0662,0.0486,0.0508,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,5,Benign,12.9501,NORMAL,58.1055,58.4929,64.8441,3.2929,3.3421,4.0662,0.0452,0.0508,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,6,Benign,10.9114,NORMAL,58.7363,58.4929,64.8441,3.3704,3.3421,4.0662,0.0447,0.0508,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,7,Benign,75.1579,NORMAL,58.2686,58.4929,64.8441,3.3151,3.3421,4.0662,0.0511,0.0508,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,8,Malicious,0.0100,SUSPECT(full:Dist),64.0165,58.4929,64.8441,4.0054,3.3421,4.0662,0.2196,0.0508,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,9,Benign,12.0837,NORMAL,56.7639,58.4929,64.8441,3.1430,3.3421,4.0662,0.0465,0.0508,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,10,Benign,4.7414,NORMAL,55.8843,58.4929,64.8441,3.0477,3.3421,4.0662,0.0459,0.0508,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,11,Malicious,0.0100,SUSPECT(full:Dist),62.0570,58.4929,64.8441,3.7629,3.3421,4.0662,0.2036,0.0508,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,12,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",65.7115,58.4929,64.8441,4.2169,3.3421,4.0662,0.2308,0.0508,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,13,Malicious,0.0100,SUSPECT(full:Dist),62.5957,58.4929,64.8441,3.8279,3.3421,4.0662,0.2002,0.0508,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,14,Benign,16.5811,NORMAL,57.3534,58.4929,64.8441,3.2130,3.3421,4.0662,0.0459,0.0508,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,15,Benign,26.8260,NORMAL,59.5677,58.4929,64.8441,3.4629,3.3421,4.0662,0.0505,0.0508,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,16,Benign,31.0962,NORMAL,57.9319,58.4929,64.8441,3.2737,3.3421,4.0662,0.0539,0.0508,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,17,Malicious,0.0100,SUSPECT(full:Dist),61.6220,58.4929,64.8441,3.7097,3.3421,4.0662,0.2022,0.0508,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
