Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Benign,3.5968,NORMAL,71.8860,74.1220,79.0216,5.0507,5.3701,6.0797,0.0100,0.0116,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Malicious,0.0100,SUSPECT(full:Dist),75.4568,74.1220,79.0216,5.5637,5.3701,6.0797,0.1904,0.0116,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,18.7696,NORMAL,74.3852,74.1220,79.0216,5.4081,5.3701,6.0797,0.0094,0.0116,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,4.1074,NORMAL,71.9959,74.1220,79.0216,5.0661,5.3701,6.0797,0.0094,0.0116,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,42.5527,NORMAL,74.4900,74.1220,79.0216,5.4240,5.3701,6.0797,0.0105,0.0116,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,40.2384,NORMAL,73.5490,74.1220,79.0216,5.2871,5.3701,6.0797,0.0117,0.0116,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Malicious,0.0100,SUSPECT(full:Dist),75.5232,74.1220,79.0216,5.5741,5.3701,6.0797,0.1805,0.0116,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,16.5731,NORMAL,72.9831,74.1220,79.0216,5.2065,5.3701,6.0797,0.0124,0.0116,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Benign,12.5857,NORMAL,75.4329,74.1220,79.0216,5.5613,5.3701,6.0797,0.0097,0.0116,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,3.7165,NORMAL,71.9136,74.1220,79.0216,5.0547,5.3701,6.0797,0.0151,0.0116,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Benign,12.3028,NORMAL,75.1232,74.1220,79.0216,5.5155,5.3701,6.0797,0.0089,0.0116,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,11,Benign,7.5680,NORMAL,72.4543,74.1220,79.0216,5.1311,5.3701,6.0797,0.0090,0.0116,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,12,Benign,2.1130,NORMAL,71.3671,74.1220,79.0216,4.9784,5.3701,6.0797,0.0157,0.0116,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,13,Benign,15.0858,NORMAL,73.2047,74.1220,79.0216,5.2374,5.3701,6.0797,0.0091,0.0116,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,14,Malicious,0.0100,SUSPECT(full:Dist),74.7489,74.1220,79.0216,5.4607,5.3701,6.0797,0.1728,0.0116,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,15,Malicious,0.0100,SUSPECT(full:Dist),74.8012,74.1220,79.0216,5.4691,5.3701,6.0797,0.1911,0.0116,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,16,Malicious,0.0100,SUSPECT(full:Dist),74.4167,74.1220,79.0216,5.4100,5.3701,6.0797,0.1911,0.0116,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,17,Malicious,0.0100,SUSPECT(full:Dist),75.5024,74.1220,79.0216,5.5719,5.3701,6.0797,0.1850,0.0116,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,18,Benign,66.0702,NORMAL,73.8588,74.1220,79.0216,5.3321,5.3701,6.0797,0.0116,0.0116,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,19,Benign,2.1745,NORMAL,71.4001,74.1220,79.0216,4.9828,5.3701,6.0797,0.0113,0.0116,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0,Benign,19.1043,NORMAL,50.2491,51.5316,57.5349,2.4675,2.5956,3.1953,0.0694,0.0698,0.0951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,Malicious,0.0100,SUSPECT(full:Dist),55.4232,51.5316,57.5349,3.0001,2.5956,3.1953,0.2018,0.0698,0.0951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,2,Benign,5.3636,NORMAL,50.5864,51.5316,57.5349,2.5012,2.5956,3.1953,0.0811,0.0698,0.0951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,3,Benign,3.1964,NORMAL,54.3087,51.5316,57.5349,2.8819,2.5956,3.1953,0.0708,0.0698,0.0951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,4,Benign,34.4548,NORMAL,50.7155,51.5316,57.5349,2.5136,2.5956,3.1953,0.0702,0.0698,0.0951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,5,Benign,14.9106,NORMAL,50.0514,51.5316,57.5349,2.4487,2.5956,3.1953,0.0648,0.0698,0.0951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,6,Malicious,0.0100,SUSPECT(full:Dist),56.8303,51.5316,57.5349,3.1570,2.5956,3.1953,0.2069,0.0698,0.0951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,7,Benign,47.4692,NORMAL,51.5485,51.5316,57.5349,2.5972,2.5956,3.1953,0.0670,0.0698,0.0951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,8,Benign,15.4357,NORMAL,51.3784,51.5316,57.5349,2.5803,2.5956,3.1953,0.0628,0.0698,0.0951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
