Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Benign,11.4769,NORMAL,75.1187,75.3333,76.7935,5.5150,5.5475,5.7643,0.0121,0.0158,0.0272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Benign,15.8900,NORMAL,75.0149,75.3333,76.7935,5.5006,5.5475,5.7643,0.0126,0.0158,0.0272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,13.3158,NORMAL,75.5788,75.3333,76.7935,5.5834,5.5475,5.7643,0.0192,0.0158,0.0272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,22.6745,NORMAL,75.0754,75.3333,76.7935,5.5092,5.5475,5.7643,0.0133,0.0158,0.0272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",3438.1707,75.3333,76.7935,11533.6094,5.5475,5.7643,0.9791,0.0158,0.0272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,7.7489,NORMAL,75.5950,75.3333,76.7935,5.5858,5.5475,5.7643,0.0114,0.0158,0.0272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,41.9602,NORMAL,75.2516,75.3333,76.7935,5.5355,5.5475,5.7643,0.0172,0.0158,0.0272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",3474.3677,75.3333,76.7935,11799.7773,5.5475,5.7643,1.0609,0.0158,0.0272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",3335.9077,75.3333,76.7935,10876.6221,5.5475,5.7643,0.9997,0.0158,0.0272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,61.1416,NORMAL,75.2405,75.3333,76.7935,5.5338,5.5475,5.7643,0.0156,0.0158,0.0272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
