Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Benign,53.2082,NORMAL,81.0006,81.5172,87.8761,6.4131,6.4850,7.5505,0.4516,0.4563,0.5245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Benign,22.2495,NORMAL,81.5650,81.5172,87.8761,6.4870,6.4850,7.5505,0.4412,0.4563,0.5245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,8.6122,NORMAL,80.3634,81.5172,87.8761,6.3105,6.4850,7.5505,0.4312,0.4563,0.5245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,8.8202,NORMAL,83.5429,81.5172,87.8761,6.8225,6.4850,7.5505,0.4407,0.4563,0.5245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,3.4650,NORMAL,84.4606,81.5172,87.8761,6.9685,6.4850,7.5505,0.4610,0.4563,0.5245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,33.2135,NORMAL,80.8730,81.5172,87.8761,6.3889,6.4850,7.5505,0.4453,0.4563,0.5245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,42.1729,NORMAL,80.9732,81.5172,87.8761,6.4092,6.4850,7.5505,0.4477,0.4563,0.5245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",52058.3164,81.5172,87.8761,2647704.7500,6.4850,7.5505,1.0518,0.4563,0.5245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Benign,32.3902,NORMAL,80.6429,81.5172,87.8761,6.3529,6.4850,7.5505,0.4450,0.4563,0.5245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,1.7296,NORMAL,77.6061,81.5172,87.8761,5.8743,6.4850,7.5505,0.4509,0.4563,0.5245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",50786.1484,81.5172,87.8761,2520638.7500,6.4850,7.5505,0.8389,0.4563,0.5245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,11,Benign,2.8125,NORMAL,78.3294,81.5172,87.8761,5.9940,6.4850,7.5505,0.4618,0.4563,0.5245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,12,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",53718.8516,81.5172,87.8761,2815087.5000,6.4850,7.5505,1.0331,0.4563,0.5245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,13,Benign,14.2020,NORMAL,80.9125,81.5172,87.8761,6.3996,6.4850,7.5505,0.4366,0.4563,0.5245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,14,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",55006.6406,81.5172,87.8761,2957697.7500,6.4850,7.5505,1.0352,0.4563,0.5245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,15,Benign,14.8762,NORMAL,80.4380,81.5172,87.8761,6.3245,6.4850,7.5505,0.4755,0.4563,0.5245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,16,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",54362.9492,81.5172,87.8761,2885189.0000,6.4850,7.5505,0.9180,0.4563,0.5245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,17,Benign,11.1722,NORMAL,81.4694,81.5172,87.8761,6.4830,6.4850,7.5505,0.4786,0.4563,0.5245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
