Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Malicious,0.0100,SUSPECT(full:Dist),57.6646,55.4219,61.2844,3.2484,3.0018,3.6359,0.5276,0.3307,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Malicious,0.0100,SUSPECT(full:Dist),56.7996,55.4219,61.2844,3.1530,3.0018,3.6359,0.5067,0.3307,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Malicious,0.0100,SUSPECT(full:Dist),53.8683,55.4219,61.2844,2.8359,3.0018,3.6359,0.5009,0.3307,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,5.1779,NORMAL,53.0950,55.4219,61.2844,2.7556,3.0018,3.6359,0.3376,0.3307,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,4.0631,NORMAL,57.9124,55.4219,61.2844,3.2781,3.0018,3.6359,0.3069,0.3307,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,3.5500,NORMAL,54.7403,55.4219,61.2844,2.9289,3.0018,3.6359,0.2699,0.3307,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,25.5602,NORMAL,54.6826,55.4219,61.2844,2.9217,3.0018,3.6359,0.3539,0.3307,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,65.5810,NORMAL,55.1386,55.4219,61.2844,2.9718,3.0018,3.6359,0.3234,0.3307,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Benign,4.2760,NORMAL,55.3943,55.4219,61.2844,2.9982,3.0018,3.6359,0.2741,0.3307,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,6.5547,NORMAL,53.3549,55.4219,61.2844,2.7726,3.0018,3.6359,0.3019,0.3307,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Benign,5.2174,NORMAL,55.4496,55.4219,61.2844,3.0053,3.0018,3.6359,0.2783,0.3307,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,11,Benign,16.1812,NORMAL,56.1534,55.4219,61.2844,3.0798,3.0018,3.6359,0.2995,0.3307,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,12,Benign,8.7042,NORMAL,57.2974,55.4219,61.2844,3.2050,3.0018,3.6359,0.3339,0.3307,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,13,Benign,13.0661,NORMAL,54.8813,55.4219,61.2844,2.9441,3.0018,3.6359,0.2957,0.3307,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,14,Malicious,0.0100,SUSPECT(full:Dist),52.9058,55.4219,61.2844,2.7320,3.0018,3.6359,0.5266,0.3307,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,15,Malicious,0.0100,SUSPECT(full:Dist),56.1523,55.4219,61.2844,3.0782,3.0018,3.6359,0.5415,0.3307,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,16,Malicious,0.0100,SUSPECT(full:Dist),57.5320,55.4219,61.2844,3.2312,3.0018,3.6359,0.5115,0.3307,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,17,Benign,21.8019,NORMAL,56.5682,55.4219,61.2844,3.1262,3.0018,3.6359,0.3121,0.3307,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,18,Benign,1.7918,NORMAL,58.8888,55.4219,61.2844,3.3853,3.0018,3.6359,0.3617,0.3307,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,19,Benign,3.0766,NORMAL,52.5827,55.4219,61.2844,2.7028,3.0018,3.6359,0.3274,0.3307,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0,Malicious,0.0100,SUSPECT(full:Dist),45.5964,46.5527,51.4391,2.0207,2.1128,2.5322,0.5163,0.3398,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,Malicious,0.0100,SUSPECT(full:Dist),47.2134,46.5527,51.4391,2.1790,2.1128,2.5322,0.5534,0.3398,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,2,Malicious,0.0100,SUSPECT(full:Dist),46.1455,46.5527,51.4391,2.0805,2.1128,2.5322,0.5372,0.3398,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,3,Benign,14.2143,NORMAL,45.3165,46.5527,51.4391,2.0070,2.1128,2.5322,0.3292,0.3398,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,4,Benign,1.7972,NORMAL,49.2054,46.5527,51.4391,2.3661,2.1128,2.5322,0.3435,0.3398,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,5,Benign,40.3393,NORMAL,46.2496,46.5527,51.4391,2.0909,2.1128,2.5322,0.3540,0.3398,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,6,Benign,2.3864,NORMAL,48.9216,46.5527,51.4391,2.3371,2.1128,2.5322,0.2910,0.3398,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
