Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",282.9010,58.9405,65.4008,78.1621,3.3950,4.1289,0.3808,0.3489,0.4889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",276.6155,58.9405,65.4008,74.7827,3.3950,4.1289,0.4260,0.3489,0.4889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,3.6397,NORMAL,58.3206,58.9405,65.4008,3.3200,3.3950,4.1289,0.2762,0.3489,0.4889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,1.8842,NORMAL,55.9631,58.9405,65.4008,3.0614,3.3950,4.1289,0.4435,0.3489,0.4889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,3.0816,NORMAL,59.1706,58.9405,65.4008,3.4207,3.3950,4.1289,0.4263,0.3489,0.4889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,20.3890,NORMAL,58.7104,58.9405,65.4008,3.3694,3.3950,4.1289,0.3161,0.3489,0.4889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,30.7033,NORMAL,57.9618,58.9405,65.4008,3.2837,3.3950,4.1289,0.3309,0.3489,0.4889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,32.8512,NORMAL,58.5242,58.9405,65.4008,3.3445,3.3950,4.1289,0.3718,0.3489,0.4889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Benign,59.6839,NORMAL,58.5140,58.9405,65.4008,3.3462,3.3950,4.1289,0.3491,0.3489,0.4889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",292.5732,58.9405,65.4008,83.6436,3.3950,4.1289,0.2999,0.3489,0.4889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",291.2465,58.9405,65.4008,82.8195,3.3950,4.1289,0.2963,0.3489,0.4889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
