Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Benign,4.7298,NORMAL,56.9430,58.5859,65.4481,3.1630,3.3458,4.1020,0.3201,0.3746,0.4907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Benign,0.0100,SUSPECT(full:Dist),58.8931,58.5859,65.4481,3.3849,3.3458,4.1020,0.5228,0.3746,0.4907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,16.6320,NORMAL,56.9940,58.5859,65.4481,3.1723,3.3458,4.1020,0.3654,0.3746,0.4907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",321.5695,58.5859,65.4481,101.0748,3.3458,4.1020,0.3186,0.3746,0.4907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,0.0100,SUSPECT(full:Dist),57.2769,58.5859,65.4481,3.2043,3.3458,4.1020,0.6014,0.3746,0.4907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,2.7179,NORMAL,55.0998,58.5859,65.4481,2.9658,3.3458,4.1020,0.3763,0.3746,0.4907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",288.9498,58.5859,65.4481,81.4570,3.3458,4.1020,0.3436,0.3746,0.4907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,1.2281,NORMAL,56.7977,58.5859,65.4481,3.1506,3.3458,4.1020,0.4755,0.3746,0.4907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Benign,30.4294,NORMAL,57.5643,58.5859,65.4481,3.2302,3.3458,4.1020,0.3611,0.3746,0.4907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",275.6931,58.5859,65.4481,74.2978,3.3458,4.1020,0.5281,0.3746,0.4907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Benign,19.4703,NORMAL,57.1371,58.5859,65.4481,3.1907,3.3458,4.1020,0.3814,0.3746,0.4907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,11,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",287.6940,58.5859,65.4481,80.7196,3.3458,4.1020,0.3552,0.3746,0.4907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,12,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",283.1207,58.5859,65.4481,78.3208,3.3458,4.1020,0.4810,0.3746,0.4907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,13,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",303.2484,58.5859,65.4481,89.8833,3.3458,4.1020,0.3626,0.3746,0.4907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,14,Benign,20.4731,NORMAL,57.1824,58.5859,65.4481,3.1963,3.3458,4.1020,0.3729,0.3746,0.4907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
