Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Benign,6.2520,NORMAL,75.6021,74.3836,77.7109,5.5872,5.4083,5.8939,0.0203,0.0215,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Benign,27.9641,NORMAL,74.0075,74.3836,77.7109,5.3536,5.4083,5.8939,0.0243,0.0215,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,2.6027,NORMAL,72.6644,74.3836,77.7109,5.1614,5.4083,5.8939,0.0173,0.0215,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,14.4915,NORMAL,73.8429,74.3836,77.7109,5.3297,5.4083,5.8939,0.0258,0.0215,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,36.4040,NORMAL,73.9518,74.3836,77.7109,5.3458,5.4083,5.8939,0.0214,0.0215,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,16.0251,NORMAL,74.7598,74.3836,77.7109,5.4630,5.4083,5.8939,0.0256,0.0215,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,24.2256,NORMAL,73.8690,74.3836,77.7109,5.3339,5.4083,5.8939,0.0184,0.0215,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,5.4639,NORMAL,75.3114,74.3836,77.7109,5.5442,5.4083,5.8939,0.0149,0.0215,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Benign,18.8883,NORMAL,74.8387,74.3836,77.7109,5.4746,5.4083,5.8939,0.0179,0.0215,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,8.2861,NORMAL,73.2943,74.3836,77.7109,5.2512,5.4083,5.8939,0.0244,0.0215,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Benign,1.1612,NORMAL,73.5878,74.3836,77.7109,5.2923,5.4083,5.8939,0.0352,0.0215,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,11,Benign,11.5584,NORMAL,73.8148,74.3836,77.7109,5.3261,5.4083,5.8939,0.0263,0.0215,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,12,Benign,2.7012,NORMAL,76.0648,74.3836,77.7109,5.6556,5.4083,5.8939,0.0149,0.0215,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,13,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",369.0004,74.3836,77.7109,133.0906,5.4083,5.8939,0.0317,0.0215,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,14,Benign,13.3880,NORMAL,75.2514,74.3836,77.7109,5.5351,5.4083,5.8939,0.0216,0.0215,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,15,Benign,1.4130,NORMAL,73.9583,74.3836,77.7109,5.3465,5.4083,5.8939,0.0332,0.0215,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,16,Benign,1.6241,NORMAL,76.4730,74.3836,77.7109,5.7165,5.4083,5.8939,0.0133,0.0215,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,17,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",380.5407,74.3836,77.7109,141.5547,5.4083,5.8939,0.0144,0.0215,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,18,Benign,7.3502,NORMAL,73.8592,74.3836,77.7109,5.3325,5.4083,5.8939,0.0274,0.0215,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,19,Benign,3.6473,NORMAL,75.8838,74.3836,77.7109,5.6288,5.4083,5.8939,0.0178,0.0215,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0,Benign,6.1904,NORMAL,44.9488,44.7373,46.1380,1.9750,1.9561,2.0797,0.0774,0.0910,0.1233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,Benign,0.0100,SUSPECT(full:L2-Lo),43.3315,44.7373,46.1380,1.8346,1.9561,2.0797,0.0943,0.0910,0.1233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,2,Benign,11.2526,NORMAL,45.1361,44.7373,46.1380,1.9913,1.9561,2.0797,0.0823,0.0910,0.1233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,3,Benign,14.1735,NORMAL,45.0922,44.7373,46.1380,1.9873,1.9561,2.0797,0.0910,0.0910,0.1233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,4,Benign,48.5610,NORMAL,44.6849,44.7373,46.1380,1.9518,1.9561,2.0797,0.0945,0.0910,0.1233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,5,Benign,1.1914,NORMAL,43.6415,44.7373,46.1380,1.8607,1.9561,2.0797,0.1143,0.0910,0.1233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,6,Benign,44.3013,NORMAL,44.7094,44.7373,46.1380,1.9534,1.9561,2.0797,0.0949,0.0910,0.1233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,7,Benign,69.3002,NORMAL,44.8014,44.7373,46.1380,1.9620,1.9561,2.0797,0.0910,0.0910,0.1233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,8,Benign,24.1155,NORMAL,44.7651,44.7373,46.1380,1.9589,1.9561,2.0797,0.0978,0.0910,0.1233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,9,Benign,3.0362,NORMAL,44.5636,44.7373,46.1380,1.9410,1.9561,2.0797,0.1090,0.0910,0.1233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,10,Benign,1.6308,NORMAL,43.8502,44.7373,46.1380,1.8796,1.9561,2.0797,0.1052,0.0910,0.1233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,11,Benign,2.1963,NORMAL,44.9791,44.7373,46.1380,1.9771,1.9561,2.0797,0.0706,0.0910,0.1233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,12,Benign,2.1641,NORMAL,44.2043,44.7373,46.1380,1.9091,1.9561,2.0797,0.0705,0.0910,0.1233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,13,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",226.3018,44.7373,46.1380,50.0596,1.9561,2.0797,0.0813,0.0910,0.1233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
