Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Benign,2.8314,NORMAL,76.4805,78.8022,83.4887,5.7162,6.0659,6.7653,0.4440,0.4482,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Malicious,0.0100,SUSPECT(full:Dist),80.4025,78.8022,83.4887,6.3182,6.0659,6.7653,0.6477,0.4482,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Malicious,0.0100,SUSPECT(full:Dist),78.2359,78.8022,83.4887,5.9826,6.0659,6.7653,0.6079,0.4482,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Malicious,0.0100,SUSPECT(full:Dist),79.7437,78.8022,83.4887,6.2023,6.0659,6.7653,0.5981,0.4482,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Malicious,0.0100,SUSPECT(full:Dist),78.7968,78.8022,83.4887,6.0686,6.0659,6.7653,0.6298,0.4482,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,5.6384,NORMAL,78.8596,78.8022,83.4887,6.0786,6.0659,6.7653,0.4828,0.4482,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,26.2298,NORMAL,79.5849,78.8022,83.4887,6.1863,6.0659,6.7653,0.4364,0.4482,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Malicious,0.0100,SUSPECT(full:Dist),83.1485,78.8022,83.4887,6.7545,6.0659,6.7653,0.6198,0.4482,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Benign,13.4837,NORMAL,78.8076,78.8022,83.4887,6.0632,6.0659,6.7653,0.4717,0.4482,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Malicious,0.0100,SUSPECT(full:Dist),78.7336,78.8022,83.4887,6.0593,6.0659,6.7653,0.5671,0.4482,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Benign,1.2048,NORMAL,75.2404,78.8022,83.4887,5.5247,6.0659,6.7653,0.4374,0.4482,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,11,Benign,1.2299,NORMAL,75.2501,78.8022,83.4887,5.5348,6.0659,6.7653,0.4267,0.4482,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,12,Benign,0.0100,"SUSPECT(full:L2-Lo,full:Var-Lo)",73.9667,78.8022,83.4887,5.3443,6.0659,6.7653,0.4449,0.4482,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,13,Benign,9.7179,NORMAL,77.4005,78.8022,83.4887,5.8526,6.0659,6.7653,0.4584,0.4482,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,14,Benign,1.1633,NORMAL,75.0459,78.8022,83.4887,5.5049,6.0659,6.7653,0.4184,0.4482,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,15,Benign,5.2679,NORMAL,80.6499,78.8022,83.4887,6.3376,6.0659,6.7653,0.4355,0.4482,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,16,Benign,31.3158,NORMAL,78.9777,78.8022,83.4887,6.0942,6.0659,6.7653,0.4348,0.4482,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,17,Benign,5.3511,NORMAL,76.9792,78.8022,83.4887,5.7919,6.0659,6.7653,0.4516,0.4482,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,18,Benign,42.5009,NORMAL,79.3174,78.8022,83.4887,6.1417,6.0659,6.7653,0.4449,0.4482,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,19,Benign,7.1581,NORMAL,78.8685,78.8022,83.4887,6.0757,6.0659,6.7653,0.4169,0.4482,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
