Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Benign,1.1304,NORMAL,77.9617,80.6455,86.8450,5.9360,6.3560,7.3393,0.5546,0.4549,0.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",383.1778,80.6455,86.8450,143.5234,6.3560,7.3393,0.4780,0.4549,0.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",393.7163,80.6455,86.8450,151.1067,6.3560,7.3393,0.4472,0.4549,0.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,0.0100,SUSPECT(full:Dist),81.8955,80.6455,86.8450,6.5513,6.3560,7.3393,0.5989,0.4549,0.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",406.0766,80.6455,86.8450,161.0591,6.3560,7.3393,0.5375,0.4549,0.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,17.2726,NORMAL,79.2402,80.6455,86.8450,6.1328,6.3560,7.3393,0.4494,0.4549,0.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,25.5808,NORMAL,79.9014,80.6455,86.8450,6.2128,6.3560,7.3393,0.4338,0.4549,0.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,1.8417,NORMAL,80.5709,80.6455,86.8450,6.3431,6.3560,7.3393,0.5266,0.4549,0.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Benign,1.2401,NORMAL,75.9713,80.6455,86.8450,5.6395,6.3560,7.3393,0.4551,0.4549,0.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,91.0444,NORMAL,80.7201,80.6455,86.8450,6.3689,6.3560,7.3393,0.4547,0.4549,0.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Benign,11.8715,NORMAL,82.3400,80.6455,86.8450,6.6245,6.3560,7.3393,0.4216,0.4549,0.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,11,Benign,10.1287,NORMAL,79.7941,80.6455,86.8450,6.2018,6.3560,7.3393,0.4190,0.4549,0.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,12,Benign,15.5757,NORMAL,79.5883,80.6455,86.8450,6.1807,6.3560,7.3393,0.4838,0.4549,0.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,13,Benign,1.1163,NORMAL,78.8492,80.6455,86.8450,6.0693,6.3560,7.3393,0.5563,0.4549,0.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,14,Benign,8.0341,NORMAL,81.8569,80.6455,86.8450,6.5463,6.3560,7.3393,0.4151,0.4549,0.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
