Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Benign,82.4587,NORMAL,79.7536,79.7139,84.3802,6.2173,6.2100,6.9479,0.4650,0.4682,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Benign,1.3394,NORMAL,76.3974,79.7139,84.3802,5.7024,6.2100,6.9479,0.4554,0.4682,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,0.0100,SUSPECT(full:Dist),80.5731,79.7139,84.3802,6.3397,6.2100,6.9479,0.5870,0.4682,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,32.3478,NORMAL,79.0373,79.7139,84.3802,6.1062,6.2100,6.9479,0.4624,0.4682,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,14.2423,NORMAL,78.5346,79.7139,84.3802,6.0275,6.2100,6.9479,0.4505,0.4682,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,14.1921,NORMAL,78.5739,79.7139,84.3802,6.0232,6.2100,6.9479,0.4582,0.4682,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,92.9817,NORMAL,79.6742,79.7139,84.3802,6.2028,6.2100,6.9479,0.4695,0.4682,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,21.1223,NORMAL,80.0055,79.7139,84.3802,6.2542,6.2100,6.9479,0.4434,0.4682,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Malicious,0.0100,SUSPECT(full:Dist),76.7688,79.7139,84.3802,5.7601,6.2100,6.9479,0.6564,0.4682,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Malicious,0.0100,SUSPECT(full:Dist),75.9684,79.7139,84.3802,5.6322,6.2100,6.9479,0.6456,0.4682,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Malicious,0.0100,SUSPECT(full:Dist),81.1492,79.7139,84.3802,6.4363,6.2100,6.9479,0.6811,0.4682,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,11,Malicious,0.0100,SUSPECT(full:Dist),82.1016,79.7139,84.3802,6.5889,6.2100,6.9479,0.6732,0.4682,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,12,Malicious,0.0100,SUSPECT(full:Dist),84.0586,79.7139,84.3802,6.8781,6.2100,6.9479,0.6838,0.4682,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,13,Benign,23.2622,NORMAL,78.8376,79.7139,84.3802,6.0748,6.2100,6.9479,0.4669,0.4682,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,14,Malicious,0.0100,SUSPECT(full:Dist),77.6450,79.7139,84.3802,5.8852,6.2100,6.9479,0.6695,0.4682,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,15,Benign,10.1033,NORMAL,79.9706,79.7139,84.3802,6.2514,6.2100,6.9479,0.4312,0.4682,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,16,Benign,6.5129,NORMAL,80.5935,79.7139,84.3802,6.3492,6.2100,6.9479,0.5129,0.4682,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,17,Benign,1.2484,NORMAL,76.2154,79.7139,84.3802,5.6693,6.2100,6.9479,0.4494,0.4682,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,18,Benign,14.1631,NORMAL,80.8967,79.7139,84.3802,6.3964,6.2100,6.9479,0.4576,0.4682,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,19,Benign,5.2673,NORMAL,80.8678,79.7139,84.3802,6.3926,6.2100,6.9479,0.5169,0.4682,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0,Benign,22.3002,NORMAL,73.0480,72.9911,76.2268,5.1877,5.1937,5.6471,0.4936,0.5158,0.6166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,Benign,12.9785,NORMAL,72.7718,72.9911,76.2268,5.1744,5.1937,5.6471,0.4853,0.5158,0.6166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,2,Benign,15.3679,NORMAL,72.4997,72.9911,76.2268,5.1329,5.1937,5.6471,0.4879,0.5158,0.6166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,3,Benign,1.1470,NORMAL,70.3531,72.9911,76.2268,4.8298,5.1937,5.6471,0.5213,0.5158,0.6166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,4,Benign,3.7130,NORMAL,74.3364,72.9911,76.2268,5.3982,5.1937,5.6471,0.5155,0.5158,0.6166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,5,Benign,1.0444,NORMAL,75.9661,72.9911,76.2268,5.6313,5.1937,5.6471,0.5227,0.5158,0.6166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,6,Benign,1.4586,NORMAL,71.2862,72.9911,76.2268,4.9651,5.1937,5.6471,0.4383,0.5158,0.6166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,7,Benign,6.0218,NORMAL,72.7171,72.9911,76.2268,5.1617,5.1937,5.6471,0.4728,0.5158,0.6166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,8,Malicious,0.0100,SUSPECT(full:Dist),70.0674,72.9911,76.2268,4.7945,5.1937,5.6471,0.7231,0.5158,0.6166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,9,Malicious,0.0100,SUSPECT(full:Dist),73.4764,72.9911,76.2268,5.2655,5.1937,5.6471,0.6849,0.5158,0.6166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,10,Malicious,0.0100,"SUSPECT(full:L2-Lo,full:Var-Lo,full:Dist)",69.0615,72.9911,76.2268,4.6622,5.1937,5.6471,0.7187,0.5158,0.6166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,11,Malicious,0.0100,SUSPECT(full:Dist),72.1126,72.9911,76.2268,5.0744,5.1937,5.6471,0.6939,0.5158,0.6166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,12,Malicious,0.0100,SUSPECT(full:Dist),73.5024,72.9911,76.2268,5.2806,5.1937,5.6471,0.6635,0.5158,0.6166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,13,Benign,57.6571,NORMAL,73.1195,72.9911,76.2268,5.2259,5.1937,5.6471,0.5162,0.5158,0.6166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,14,Malicious,0.0100,SUSPECT(full:Dist),73.2236,72.9911,76.2268,5.2411,5.1937,5.6471,0.6807,0.5158,0.6166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,15,Benign,16.0343,NORMAL,73.7305,72.9911,76.2268,5.3011,5.1937,5.6471,0.5010,0.5158,0.6166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,16,Benign,71.1575,NORMAL,72.9342,72.9911,76.2268,5.1997,5.1937,5.6471,0.5107,0.5158,0.6166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,17,Benign,1.4172,NORMAL,70.7782,72.9911,76.2268,4.8832,5.1937,5.6471,0.5184,0.5158,0.6166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,18,Benign,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",77.4179,72.9911,76.2268,5.8584,5.1937,5.6471,0.4862,0.5158,0.6166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,19,Benign,4.0337,NORMAL,74.2837,72.9911,76.2268,5.3918,5.1937,5.6471,0.4966,0.5158,0.6166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0,Benign,9.4458,NORMAL,68.4477,69.6287,73.9441,4.5695,4.7371,5.3417,0.4876,0.5300,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,1,Benign,3.5201,NORMAL,71.6142,69.6287,73.9441,5.0099,4.7371,5.3417,0.5257,0.5300,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,2,Benign,0.0100,"SUSPECT(full:L2-Lo,full:Var-Lo)",63.6217,69.6287,73.9441,3.9498,4.7371,5.3417,0.5745,0.5300,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,3,Benign,22.7187,NORMAL,68.9092,69.6287,73.9441,4.6217,4.7371,5.3417,0.5055,0.5300,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,4,Benign,23.4104,NORMAL,70.4354,69.6287,73.9441,4.8475,4.7371,5.3417,0.5352,0.5300,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,5,Benign,12.2159,NORMAL,70.2439,69.6287,73.9441,4.8107,4.7371,5.3417,0.4925,0.5300,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,6,Benign,6.9706,NORMAL,68.1198,69.6287,73.9441,4.5241,4.7371,5.3417,0.5098,0.5300,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,7,Benign,3.4082,NORMAL,67.6525,69.6287,73.9441,4.4555,4.7371,5.3417,0.5496,0.5300,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,8,Malicious,0.0100,SUSPECT(full:Dist),70.5429,69.6287,73.9441,4.8640,4.7371,5.3417,0.7319,0.5300,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,9,Malicious,0.0100,SUSPECT(full:Dist),70.4272,69.6287,73.9441,4.8471,4.7371,5.3417,0.6960,0.5300,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,10,Malicious,0.0100,SUSPECT(full:Dist),71.3075,69.6287,73.9441,4.9680,4.7371,5.3417,0.7260,0.5300,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,11,Malicious,0.0100,SUSPECT(full:Dist),72.5913,69.6287,73.9441,5.1494,4.7371,5.3417,0.7312,0.5300,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,12,Malicious,0.0100,SUSPECT(full:Dist),71.2433,69.6287,73.9441,4.9586,4.7371,5.3417,0.7629,0.5300,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,13,Benign,1.2004,NORMAL,66.2892,69.6287,73.9441,4.2676,4.7371,5.3417,0.5233,0.5300,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,14,Malicious,0.0100,SUSPECT(full:Dist),68.8300,69.6287,73.9441,4.6234,4.7371,5.3417,0.6759,0.5300,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,15,Benign,13.7006,NORMAL,69.9628,69.6287,73.9441,4.7807,4.7371,5.3417,0.4946,0.5300,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,16,Benign,53.0032,NORMAL,69.2945,69.6287,73.9441,4.6934,4.7371,5.3417,0.5188,0.5300,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,17,Benign,6.8802,NORMAL,68.1428,69.6287,73.9441,4.5229,4.7371,5.3417,0.5123,0.5300,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,18,Benign,15.4228,NORMAL,70.6054,69.6287,73.9441,4.8718,4.7371,5.3417,0.4968,0.5300,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,19,Benign,23.1429,NORMAL,68.8154,69.6287,73.9441,4.6285,4.7371,5.3417,0.5342,0.5300,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,0,Benign,2.4374,NORMAL,68.4560,68.2071,75.0841,4.5734,4.5419,5.4557,0.7392,0.5805,0.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1,Benign,28.0981,NORMAL,67.0846,68.2071,75.0841,4.3974,4.5419,5.4557,0.5483,0.5805,0.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,2,Benign,22.2282,NORMAL,67.4915,68.2071,75.0841,4.4505,4.5419,5.4557,0.5225,0.5805,0.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,3,Benign,17.0082,NORMAL,67.9582,68.2071,75.0841,4.5001,4.5419,5.4557,0.5120,0.5805,0.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,4,Benign,15.9810,NORMAL,67.9276,68.2071,75.0841,4.5103,4.5419,5.4557,0.5095,0.5805,0.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,5,Benign,4.0910,NORMAL,71.0815,68.2071,75.0841,4.9390,4.5419,5.4557,0.5155,0.5805,0.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,6,Benign,9.8138,NORMAL,70.2179,68.2071,75.0841,4.8193,4.5419,5.4557,0.5803,0.5805,0.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,7,Benign,5.2085,NORMAL,69.3047,68.2071,75.0841,4.6863,4.5419,5.4557,0.6990,0.5805,0.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,8,Malicious,1.2549,NORMAL,73.1528,68.2071,75.0841,5.2240,4.5419,5.4557,0.7701,0.5805,0.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,9,Malicious,1.3157,NORMAL,66.3870,68.2071,75.0841,4.3081,4.5419,5.4557,0.7959,0.5805,0.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,10,Malicious,4.2827,NORMAL,71.0321,68.2071,75.0841,4.9321,4.5419,5.4557,0.7058,0.5805,0.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,11,Malicious,1.5584,NORMAL,70.4112,68.2071,75.0841,4.8448,4.5419,5.4557,0.7746,0.5805,0.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,12,Malicious,1.4026,NORMAL,72.7037,68.2071,75.0841,5.1667,4.5419,5.4557,0.7868,0.5805,0.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,13,Benign,3.9191,NORMAL,65.1692,68.2071,75.0841,4.1505,4.5419,5.4557,0.5808,0.5805,0.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,14,Malicious,2.9956,NORMAL,70.8057,68.2071,75.0841,4.8964,4.5419,5.4557,0.7270,0.5805,0.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,15,Benign,12.6409,NORMAL,66.8689,68.2071,75.0841,4.3594,4.5419,5.4557,0.5001,0.5805,0.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,16,Benign,11.0010,NORMAL,66.2278,68.2071,75.0841,4.2873,4.5419,5.4557,0.5917,0.5805,0.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,17,Benign,21.6998,NORMAL,66.8531,68.2071,75.0841,4.3625,4.5419,5.4557,0.5355,0.5805,0.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,18,Benign,15.1709,NORMAL,69.8256,68.2071,75.0841,4.7651,4.5419,5.4557,0.5485,0.5805,0.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,19,Benign,13.2266,NORMAL,66.6769,68.2071,75.0841,4.3448,4.5419,5.4557,0.5019,0.5805,0.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,0,Benign,1.6336,NORMAL,66.0715,67.8666,74.5708,4.2670,4.5015,5.3871,0.6956,0.5894,0.7363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,Benign,0.0100,SUSPECT(full:Dist),66.7773,67.8666,74.5708,4.3536,4.5015,5.3871,0.7452,0.5894,0.7363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,2,Benign,14.5414,NORMAL,68.2049,67.8666,74.5708,4.5438,4.5015,5.3871,0.5475,0.5894,0.7363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
