Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Benign,26.8077,NORMAL,57.3397,58.8077,67.4779,3.2130,3.3800,4.3947,0.3484,0.3777,0.6015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",8445.2861,58.8077,67.4779,69668.3516,3.3800,4.3947,0.9796,0.3777,0.6015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,23.8240,NORMAL,58.4073,58.8077,67.4779,3.3343,3.3800,4.3947,0.3305,0.3777,0.6015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,5.9986,NORMAL,58.7893,58.8077,67.4779,3.3743,3.3800,4.3947,0.2819,0.3777,0.6015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",8135.1304,58.8077,67.4779,64675.7031,3.3800,4.3947,0.8461,0.3777,0.6015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",8353.4570,58.8077,67.4779,68120.2344,3.3800,4.3947,0.9829,0.3777,0.6015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",8315.2363,58.8077,67.4779,67584.6797,3.3800,4.3947,1.0203,0.3777,0.6015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,68.5328,NORMAL,58.3951,58.8077,67.4779,3.3333,3.3800,4.3947,0.3651,0.3777,0.6015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",8389.3945,58.8077,67.4779,68737.0234,3.3800,4.3947,0.9926,0.3777,0.6015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,12.9858,NORMAL,58.8216,58.8077,67.4779,3.3819,3.3800,4.3947,0.3099,0.3777,0.6015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
