Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Benign,17.4312,NORMAL,79.0129,79.9069,83.8671,6.0909,6.2294,6.8471,0.0196,0.0183,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Benign,15.3818,NORMAL,80.8577,79.9069,83.8671,6.3792,6.2294,6.8471,0.0178,0.0183,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,1.2028,NORMAL,79.7992,79.9069,83.8671,6.2159,6.2294,6.8471,0.0287,0.0183,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,18.3263,NORMAL,79.1865,79.9069,83.8671,6.1172,6.2294,6.8471,0.0154,0.0183,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,2.2363,NORMAL,78.8765,79.9069,83.8671,6.0703,6.2294,6.8471,0.0109,0.0183,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,18.3079,NORMAL,79.0387,79.9069,83.8671,6.0990,6.2294,6.8471,0.0208,0.0183,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,13.6975,NORMAL,78.8925,79.9069,83.8671,6.0701,6.2294,6.8471,0.0176,0.0183,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,1.6546,NORMAL,78.8150,79.9069,83.8671,6.0658,6.2294,6.8471,0.0268,0.0183,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",393.3735,79.9069,83.8671,151.0546,6.2294,6.8471,0.0188,0.0183,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,2.0235,NORMAL,80.8726,79.9069,83.8671,6.3788,6.2294,6.8471,0.0106,0.0183,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
