Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Benign,2.1057,NORMAL,77.3344,77.5032,83.2207,5.8293,5.8633,6.7219,0.4471,0.4668,0.4975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Benign,1.3532,NORMAL,73.4682,77.5032,83.2207,5.2749,5.8633,6.7219,0.4673,0.4668,0.4975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,13.6612,NORMAL,76.5569,77.5032,83.2207,5.7231,5.8633,6.7219,0.4759,0.4668,0.4975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,22.6256,NORMAL,76.4088,77.5032,83.2207,5.7044,5.8633,6.7219,0.4663,0.4668,0.4975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,1.0114,NORMAL,77.6720,77.5032,83.2207,5.8868,5.8633,6.7219,0.4270,0.4668,0.4975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,0.0100,SUSPECT(full:Dist),76.2444,77.5032,83.2207,5.6822,5.8633,6.7219,0.5862,0.4668,0.4975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,0.0100,SUSPECT(full:Dist),75.3884,77.5032,83.2207,5.5551,5.8633,6.7219,0.5834,0.4668,0.4975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,16.0537,NORMAL,78.3440,77.5032,83.2207,5.9997,5.8633,6.7219,0.4751,0.4668,0.4975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Benign,1.0001,NORMAL,81.2626,77.5032,83.2207,6.4529,5.8633,6.7219,0.4063,0.4668,0.4975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,23.0614,NORMAL,77.3258,77.5032,83.2207,5.8399,5.8633,6.7219,0.4734,0.4668,0.4975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
