Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",406.2095,81.2650,92.3333,161.2527,6.4552,8.1963,0.4453,0.4571,0.6036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",388.7932,81.2650,92.3333,147.6942,6.4552,8.1963,0.5524,0.4571,0.6036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,20.5227,NORMAL,79.7848,81.2650,92.3333,6.2224,6.4552,8.1963,0.4230,0.4571,0.6036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",389.2924,81.2650,92.3333,148.1358,6.4552,8.1963,0.5789,0.4571,0.6036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",396.9564,81.2650,92.3333,153.9952,6.4552,8.1963,0.4442,0.4571,0.6036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",386.1462,81.2650,92.3333,145.4044,6.4552,8.1963,0.4375,0.4571,0.6036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,22.4150,NORMAL,79.1329,81.2650,92.3333,6.1206,6.4552,8.1963,0.4492,0.4571,0.6036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,14.9849,NORMAL,81.7698,81.2650,92.3333,6.5359,6.4552,8.1963,0.4160,0.4571,0.6036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Benign,1.8503,NORMAL,78.6239,81.2650,92.3333,6.0425,6.4552,8.1963,0.5569,0.4571,0.6036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",391.0249,81.2650,92.3333,149.4628,6.4552,8.1963,0.4566,0.4571,0.6036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Benign,7.6711,NORMAL,78.3287,81.2650,92.3333,5.9969,6.4552,8.1963,0.4005,0.4571,0.6036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,11,Benign,14.0979,NORMAL,78.8312,81.2650,92.3333,6.0739,6.4552,8.1963,0.4146,0.4571,0.6036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,12,Benign,24.9052,NORMAL,80.7602,81.2650,92.3333,6.3745,6.4552,8.1963,0.4871,0.4571,0.6036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,13,Benign,1.6896,NORMAL,79.6126,81.2650,92.3333,6.1770,6.4552,8.1963,0.5613,0.4571,0.6036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,14,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",395.1890,81.2650,92.3333,152.3967,6.4552,8.1963,0.5623,0.4571,0.6036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,15,Benign,31.0742,NORMAL,79.6152,81.2650,92.3333,6.1937,6.4552,8.1963,0.4577,0.4571,0.6036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,16,Benign,13.1976,NORMAL,78.3720,81.2650,92.3333,5.9973,6.4552,8.1963,0.4548,0.4571,0.6036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,17,Benign,5.7851,NORMAL,82.3703,81.2650,92.3333,6.6315,6.4552,8.1963,0.5207,0.4571,0.6036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
