Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",53213.0430,81.6826,91.5339,2767951.2500,6.5182,8.0924,1.0003,0.4706,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Benign,20.7762,NORMAL,79.6869,81.6826,91.5339,6.2047,6.5182,8.0924,0.4793,0.4706,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",51179.2344,81.6826,91.5339,2542269.0000,6.5182,8.0924,1.0013,0.4706,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,9.0995,NORMAL,83.4878,81.6826,91.5339,6.8035,6.5182,8.0924,0.4177,0.4706,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,63.4928,NORMAL,81.1113,81.6826,91.5339,6.4257,6.5182,8.0924,0.4721,0.4706,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",54948.7227,81.6826,91.5339,2951471.7500,6.5182,8.0924,0.9832,0.4706,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,41.6456,NORMAL,80.6689,81.6826,91.5339,6.3411,6.5182,8.0924,0.4546,0.4706,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,12.2155,NORMAL,80.2493,81.6826,91.5339,6.2931,6.5182,8.0924,0.4246,0.4706,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Benign,30.4802,NORMAL,81.4176,81.6826,91.5339,6.4724,6.5182,8.0924,0.4449,0.4706,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,7.2362,NORMAL,83.2917,81.6826,91.5339,6.7803,6.5182,8.0924,0.4122,0.4706,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",52653.5781,81.6826,91.5339,2695065.2500,6.5182,8.0924,1.0191,0.4706,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,11,Benign,16.8389,NORMAL,83.9029,81.6826,91.5339,6.8808,6.5182,8.0924,0.5041,0.4706,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,12,Benign,17.3322,NORMAL,80.4540,81.6826,91.5339,6.3253,6.5182,8.0924,0.4325,0.4706,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,13,Benign,8.4223,NORMAL,78.4801,81.6826,91.5339,6.0183,6.5182,8.0924,0.4711,0.4706,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,14,Benign,12.1145,NORMAL,78.9773,81.6826,91.5339,6.0937,6.5182,8.0924,0.4702,0.4706,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,15,Benign,3.2829,NORMAL,77.0282,81.6826,91.5339,5.7867,6.5182,8.0924,0.4606,0.4706,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,16,Benign,4.5417,NORMAL,77.5690,81.6826,91.5339,5.8815,6.5182,8.0924,0.4667,0.4706,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,17,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",53588.2891,81.6826,91.5339,2805484.2500,6.5182,8.0924,0.9983,0.4706,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,18,Benign,3.0132,NORMAL,81.9476,81.6826,91.5339,6.5641,6.5182,8.0924,0.3884,0.4706,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,19,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",54669.9766,81.6826,91.5339,2918639.5000,6.5182,8.0924,1.0044,0.4706,0.6180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",53377.5859,74.3799,79.3635,2782155.2500,5.4079,6.1761,1.0100,0.4923,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,Benign,13.2850,NORMAL,73.0737,74.3799,79.3635,5.2176,5.4079,6.1761,0.5029,0.4923,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,2,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",55478.1484,74.3799,79.3635,3007606.2500,5.4079,6.1761,0.9831,0.4923,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,3,Benign,26.6417,NORMAL,73.6737,74.3799,79.3635,5.3030,5.4079,6.1761,0.4748,0.4923,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,4,Benign,9.9803,NORMAL,75.3869,74.3799,79.3635,5.5549,5.4079,6.1761,0.4612,0.4923,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,5,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",53594.9727,74.3799,79.3635,2806824.0000,5.4079,6.1761,1.0534,0.4923,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,6,Benign,21.5780,NORMAL,73.3950,74.3799,79.3635,5.2657,5.4079,6.1761,0.4969,0.4923,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,7,Benign,3.3708,NORMAL,74.2928,74.3799,79.3635,5.3952,5.4079,6.1761,0.4440,0.4923,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,8,Benign,23.0918,NORMAL,74.4670,74.3799,79.3635,5.4205,5.4079,6.1761,0.4728,0.4923,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,9,Benign,14.9732,NORMAL,74.1785,74.3799,79.3635,5.3779,5.4079,6.1761,0.5177,0.4923,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,10,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",53686.2500,74.3799,79.3635,2817129.2500,5.4079,6.1761,0.9801,0.4923,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,11,Benign,6.8259,NORMAL,76.1508,74.3799,79.3635,5.6511,5.4079,6.1761,0.4676,0.4923,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,12,Benign,2.9387,NORMAL,71.9235,74.3799,79.3635,5.0433,5.4079,6.1761,0.4878,0.4923,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,13,Benign,13.7771,NORMAL,75.1702,74.3799,79.3635,5.5143,5.4079,6.1761,0.4658,0.4923,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,14,Benign,14.1097,NORMAL,73.8737,74.3799,79.3635,5.3326,5.4079,6.1761,0.5185,0.4923,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,15,Benign,31.6835,NORMAL,73.7698,74.3799,79.3635,5.3192,5.4079,6.1761,0.4771,0.4923,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,16,Benign,0.0100,SUSPECT(full:L2-Lo),69.0007,74.3799,79.3635,4.6525,5.4079,6.1761,0.4814,0.4923,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,17,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",54017.7031,74.3799,79.3635,2852308.5000,5.4079,6.1761,0.9884,0.4923,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,18,Benign,14.2792,NORMAL,73.1943,74.3799,79.3635,5.2140,5.4079,6.1761,0.4739,0.4923,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,19,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",52872.8633,74.3799,79.3635,2727497.7500,5.4079,6.1761,0.9811,0.4923,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",54560.3125,69.2170,82.0154,2909825.0000,4.6728,6.3454,1.0027,0.5393,0.6650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,1,Benign,12.3186,NORMAL,72.4783,69.2170,82.0154,5.1283,4.6728,6.3454,0.5030,0.5393,0.6650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,2,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",54809.2070,69.2170,82.0154,2924837.0000,4.6728,6.3454,1.0188,0.5393,0.6650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,3,Benign,14.6602,NORMAL,66.0323,69.2170,82.0154,4.2622,4.6728,6.3454,0.5473,0.5393,0.6650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,4,Benign,21.2981,NORMAL,66.6658,69.2170,82.0154,4.3432,4.6728,6.3454,0.5143,0.5393,0.6650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
